Device,Device ID,Part ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"10","",0,1,1,"1",1,5235,""
2,"11","",0,2,0,"65535",65535,5235,""
3,"12","",0,3,1,"1",1,5235,""
4,"13","",0,4,1,"1",1,5235,""
5,"14","",0,5,1,"1",1,5235,""
6,"19","",0,6,1,"1",1,5235,""
7,"16","",0,7,1,"1",1,5235,""
8,"18","",0,8,1,"1",1,5235,""
9,"11","",0,1,1,"1",1,5227,""
10,"12","",0,2,0,"65535",65535,5227,""
11,"13","",0,3,1,"1",1,5227,""
12,"14","",0,4,1,"1",1,5227,""
13,"19","",0,5,1,"1",1,5227,""
14,"16","",0,6,1,"1",1,5227,""
15,"18","",0,7,1,"1",1,5227,""
16,"10","",0,8,1,"1",1,5227,""
17,"12","",0,1,1,"1",1,5210,""
18,"13","",0,2,0,"65535",65535,5210,""
19,"14","",0,3,1,"1",1,5210,""
20,"19","",0,4,1,"1",1,5210,""
21,"16","",0,5,1,"1",1,5210,""
22,"18","",0,6,1,"1",1,5210,""
23,"10","",0,7,1,"1",1,5210,""
24,"11","",0,8,1,"1",1,5210,""
25,"13","",0,1,1,"1",1,5222,""
26,"14","",0,2,0,"65535",65535,5222,""
27,"19","",0,3,1,"1",1,5222,""
28,"16","",0,4,1,"1",1,5222,""
29,"18","",0,5,1,"1",1,5222,""
30,"10","",0,6,1,"1",1,5222,""
31,"11","",0,7,1,"1",1,5222,""
32,"12","",0,8,1,"1",1,5222,""
33,"14","",0,1,1,"1",1,5220,""
34,"19","",0,2,0,"65535",65535,5220,""
35,"16","",0,3,1,"1",1,5220,""
36,"18","",0,4,1,"1",1,5220,""
37,"10","",0,5,1,"1",1,5220,""
38,"11","",0,6,1,"1",1,5220,""
39,"12","",0,7,1,"1",1,5220,""
40,"13","",0,8,1,"1",1,5220,""
41,"19","",0,1,1,"1",1,5222,""
42,"16","",0,2,0,"65535",65535,5222,""
43,"18","",0,3,1,"1",1,5222,""
44,"10","",0,4,1,"1",1,5222,""
45,"11","",0,5,1,"1",1,5222,""
46,"12","",0,6,1,"1",1,5222,""
47,"13","",0,7,1,"1",1,5222,""
48,"14","",0,8,1,"1",1,5222,""
49,"16","",0,1,1,"1",1,5204,""
50,"18","",0,2,0,"65535",65535,5204,""
51,"10","",0,3,1,"1",1,5204,""
52,"11","",0,4,1,"1",1,5204,""
53,"12","",0,5,1,"1",1,5204,""
54,"13","",0,6,1,"1",1,5204,""
55,"14","",0,7,1,"1",1,5204,""
56,"19","",0,8,1,"1",1,5204,""
57,"18","",0,1,1,"1",1,5203,""
58,"10","",0,2,0,"65535",65535,5203,""
59,"11","",0,3,1,"1",1,5203,""
60,"12","",0,4,1,"1",1,5203,""
61,"13","",0,5,1,"1",1,5203,""
62,"14","",0,6,1,"1",1,5203,""
63,"19","",0,7,1,"1",1,5203,""
64,"16","",0,8,1,"1",1,5203,""
65,"18","",0,1,1,"1",1,5208,""
66,"10","",0,2,0,"65535",65535,5208,""
67,"11","",0,3,1,"1",1,5208,""
68,"12","",0,4,1,"1",1,5208,""
69,"13","",0,5,1,"1",1,5208,""
70,"14","",0,6,1,"1",1,5208,""
71,"19","",0,7,1,"1",1,5208,""
72,"16","",0,8,1,"1",1,5208,""